Nombre Grace,Claves Clases,Link MisProfes,
JUAN MANUEL ANDRADE HERNANDEZ,COM-23115,https://www.misprofesores.com/profesores/Juan-Manuel-Andrade-Hernandez_108735,
ANDRES HERNANDEZ BARRERA,"DER-11304, DER-11105",https://www.misprofesores.com/profesores/Andres-Hernandez-Barrera_181176,
LYSETTE FELIX FELIX,"MAT-12220, MAT-12221",https://www.misprofesores.com/profesores/Lysette-Felix-Felix_109682,
GUSTAVO ANTONIO LEYVA JIMENEZ,"ECO-10517, ECO-12201",https://www.misprofesores.com/profesores/Gustavo-Antonio-Leyva-Jimenez_181676,
DANIELA RUIZ MASSIEU SALINAS,"ADM-13106, ADM-15582",https://www.misprofesores.com/profesores/Daniela-Ruiz-Massieu-Salinas_54674,
NITZE NAYELI PEREZ FERNANDEZ,"DER-16059-LAB, DER-13026-LAB, DER-13024, DER-16058",https://www.misprofesores.com/profesores/Nitze-Nayeli-Perez-Fernandez_105762,
MARIA TERESITA PAVIA LOPEZ,EGN-17121,https://www.misprofesores.com/profesores/Maria-Teresita-Pavia-Lopez_16797,
RUBEN ALEJANDRO MARTINEZ AVENDAÑO,"MAT-12201, MAT-14300, MAT-14280",https://www.misprofesores.com/profesores/Ruben-Alejandro-Martinez-Avendano_107915,
DIEGO OCEJO DEL VILLAR,"ADM-13101, ADM-15582",N/A,
JOSE DAVID SANTOS SALAZAR,"EST-11102, ACT-15353",https://www.misprofesores.com/profesores/Jose-David-Santos-Salazar_108016,
MANETT ROCIO VARGAS GARCIA,ECO-18101,https://www.misprofesores.com/profesores/Manett-Vargas_47504,
JULIANA GUDIÑO ANTILLON,"ADM-15507, ADM-15510, ADM-15502",https://www.misprofesores.com/profesores/Juliana-Gudino-Antillon_10720,
ALEJANDRO POSADAS URTUSUASTEGUI,DER-13615-LAB,N/A,
RAYMUNDO GAMA LEYVA,"DER-12103, DER-12102, DER-12202",https://www.misprofesores.com/profesores/Raymundo-Gama_80671,
JOSE ANTONIO LECHUGA RIVERA,COM-12101,N/A,
JORGE ALCALDE MARTIN DEL CAMPO,"MAT-14280, MAT-14300",https://www.misprofesores.com/profesores/JORGE-ALCALDE-MARTIN-DEL-CAMPO_81055,
RENATA HERRERIAS FRANCO,ADM-15532,https://www.misprofesores.com/profesores/Renata-Herrerias-Franco_10741,
LUIS ANTONIO MONCAYO MARTINEZ,"IIO-13150, IIO-14161",https://www.misprofesores.com/profesores/Luis-Antonio-Moncayo-Martinez_94297,
SERGIO ROMERO HERNANDEZ,"IIO-15170, IIO-15175, IIO-15180, IIO-12180",https://www.misprofesores.com/profesores/Sergio-Romero-Hernandez_10863,
FRANZ ERWIN OBERARZBACHER DAVILA,"DER-11109-LAB, DER-11110-LAB, DER-12204",N/A,
SERGIO GARCIA GARCIA,LEN-12702,N/A,
ANA MICAELA ALTERIO,DER-15403,https://www.misprofesores.com/profesores/Ana-Micaela-Alterio_80390,
EMILIO ENRIQUE NAVARRO HERNANDEZ,"CLE-10516-LAB, LEN-12701, CLE-10516",N/A,
ANTONIO LOPEZ VELARDE LOERA,ACT-25354,N/A,
SIMON LUNAGOMEZ CORIA,"EST-14102, EST-24126, EST-24127, EST-14101",https://www.misprofesores.com/profesores/Simon-Lunagomez-Coria_153767,
ANA MARIA ZORRILLA NORIEGA,"DER-17044, DER-11121, DER-17047-LAB, DER-11104-LAB",https://www.misprofesores.com/profesores/Ana-Maria-Zorrilla-Noriega_129385,
ZEFERINO PARADA GARCIA,"MAT-14250, MAT-24410, MAT-14200, MAT-14100, MAT-14400",https://www.misprofesores.com/profesores/Zeferino-Parada-Garcia_10698,
MAYRA NUÑEZ LOPEZ,"MAT-24630, MAT-24632",https://www.misprofesores.com/profesores/Mayra-Nunez-Lopez_100352,
FEDERICO JOSE KUHLMANN RODRIGUEZ,"SDI-14105, SDI-15816, SDI-17112",https://www.misprofesores.com/profesores/Federico-Jose-Kuhlmann-Rodriguez_10875,
ROBERTO ZOCCO,"EGN-11164, EGN-17121",https://www.misprofesores.com/profesores/Roberto-Zocco-Pasimeni_35000,
HUGO ALEJANDRO GARDUÑO ARREDONDO,ADM-15514,https://www.misprofesores.com/profesores/HUGO-ALEJANDRO-GARDUNO-ARREDONDO_103934,
MIGUEL ONTIVEROS ALONSO,DER-14402,https://www.misprofesores.com/profesores/Miguel-Onitveros-Alonso_179889,
JULIETA IRMA GUIZA PEREZ,ADM-15501,https://www.misprofesores.com/profesores/Julieta-Irma-Guiza-Perez_10729,
FILIBERTO VICTOR KERBER PALMA,EIN-17403,https://www.misprofesores.com/profesores/Filiberto-Victor-Kerber_159983,
NANCY FABIOLA MENDEZ LOPEZ,LEN-12702,N/A,
SERGIO MIGUEL SARMIENTO SERRANO,EGN-17142,https://www.misprofesores.com/profesores/Sergio-Miguel-Sarmiento-Serrano_16302,
ALFREDO VILLAFRANCA QUINTO,EGN-17162,https://www.misprofesores.com/profesores/Alfredo-Villafranca-Quinto_10811,
HERICA SANCHEZ LARIOS,"MAT-12200, MAT-14250, MAT-14200",https://www.misprofesores.com/profesores/Herica-Sanchez-Larios_40771,
CARLOS MENA LABARTHE,"DER-16007, DER-16057",N/A,
ELIZABETH GEORGINA URRUTIA LEZAMA,"CON-10110, CON-10100",https://www.misprofesores.com/profesores/Elizabeth-Georgina-Urrutia-Lezama_22908,
MARIA DE LA CRUZ TORRES MANTECON,"ADM-14405, ADM-12302, ADM-14401",https://www.misprofesores.com/profesores/Marycruz-Torres-Mantecon_20290,
MIGUEL BERNARDO DE ERICE RODRIGUEZ,"DER-16501, DER-16502",https://www.misprofesores.com/profesores/Miguel-de-Erice_29635,
HUGO CORZO ZANABRIA,LEN-12758,N/A,
ROSA MARIA ATHIE RUBIO,"CON-10001, CON-10110, CON-10100",https://www.misprofesores.com/profesores/Rosa-Ma-Athie_19736,
MIROSLAVA MENDOZA VIDAL,COM-16412,https://www.misprofesores.com/profesores/Miroslava-Mendoza-Vidal_30732,
